2019-07-12T20:40:26;Filter 1 replaced;Filter 1
2019-07-12T20:41:41;Filter 1 replaced;Filter 1
2019-07-12T20:53:41;Filter 1 replaced;Filter 1
2019-07-12T20:54:05;Filter 1 replaced;Filter 1
2019-07-12T20:54:38;Filter 1 replaced;Filter 1
2019-07-12T20:56:51;Filter 1 replaced;Filter 1
2019-07-12T20:57:06;Filter 1 replaced;Filter 1
2019-07-12T20:58:10;Filter 1 replaced;Filter 1
2019-07-12T21:00:44;Filter 2 replaced;Filter 2
2019-07-12T21:00:50;Filter 3 replaced;Filter 3
2019-07-12T21:00:53;Filter 1 replaced;Filter 1
